Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Pathovar	Race	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Species	Contig Number	No. N's	Barcode
PSE_AA0028AA	DC3000	SRR24258086;ILLUMINA;Paired;;SRX20053971;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299729	SRS17392119	2023-05-14	2023-04-21	PSE_AA0028AA	Assembled	89.6	5.2	69125	6305747	Pseudomonas syringae group genomosp. 3;100.0%	221	2525	PSE_AA4635AA_AS
PSE_AA0029AA	DC3000	SRR24258087;ILLUMINA;Paired;;SRX20053970;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299728	SRS17392118	2023-05-14	2023-04-21	PSE_AA0029AA	Assembled	126.3	5.2	70686	6304535	Pseudomonas syringae group genomosp. 3;100.0%	224	2656	PSE_AA4636AA_AS
PSE_AA0030AA	DC3000	SRR24258088;ILLUMINA;Paired;;SRX20053969;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299727	SRS17392116	2023-05-14	2023-04-21	PSE_AA0030AA	Assembled	100.8	5.2	70881	6306316	Pseudomonas syringae group genomosp. 3;100.0%	220	2058	PSE_AA4637AA_AS
PSE_AA0031AA	DC3000	SRR24258089;ILLUMINA;Paired;;SRX20053968;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299726	SRS17392117	2023-05-14	2023-04-21	PSE_AA0031AA	Assembled	103.1	5.2	77229	6305603	Pseudomonas syringae group genomosp. 3;100.0%	218	2288	PSE_AA4638AA_AS
PSE_AA0032AA	DC3000	SRR24258090;ILLUMINA;Paired;;SRX20053967;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299725	SRS17392115	2023-05-14	2023-04-21	PSE_AA0032AA	Assembled	109.4	5.2	69642	6306739	Pseudomonas syringae group genomosp. 3;100.0%	226	2179	PSE_AA4639AA_AS
PSE_AA0033AA	DC3000	SRR24258091;ILLUMINA;Paired;;SRX20053966;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299724	SRS17392114	2023-05-14	2023-04-21	PSE_AA0033AA	Assembled	119.3	5.2	69891	6303890	Pseudomonas syringae group genomosp. 3;100.0%	232	2852	PSE_AA4640AA_AS
PSE_AA0034AA	DC3000	SRR24258092;ILLUMINA;Paired;;SRX20053965;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299706	SRS17392113	2023-05-14	2023-04-21	PSE_AA0034AA	Assembled	115.1	5.2	69907	6306770	Pseudomonas syringae group genomosp. 3;100.0%	217	2026	PSE_AA4641AA_AS
PSE_AA0035AA	DC3000	SRR24258093;ILLUMINA;Paired;;SRX20053964;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299723	SRS17392111	2023-05-14	2023-04-21	PSE_AA0035AA	Assembled	108.9	5.2	74598	6306192	Pseudomonas syringae group genomosp. 3;100.0%	222	2460	PSE_AA4642AA_AS
PSE_AA0036AA	DC3000	SRR24258094;ILLUMINA;Paired;;SRX20053963;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299722	SRS17392112	2023-05-14	2023-04-21	PSE_AA0036AA	Assembled	107.2	5.2	69899	6306326	Pseudomonas syringae group genomosp. 3;100.0%	222	2486	PSE_AA4643AA_AS
PSE_AA0037AA	DC3000	SRR24258095;ILLUMINA;Paired;;SRX20053962;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299721	SRS17392110	2023-05-14	2023-04-21	PSE_AA0037AA	Assembled	73.3	5.2	69099	6304261	Pseudomonas syringae group genomosp. 3;100.0%	222	3439	PSE_AA4644AA_AS
PSE_AA0038AA	DC3000	SRR24258096;ILLUMINA;Paired;;SRX20053961;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299720	SRS17392109	2023-05-14	2023-04-21	PSE_AA0038AA	Assembled	125.2	5.2	77217	6304092	Pseudomonas syringae group genomosp. 3;100.0%	230	2233	PSE_AA4645AA_AS
PSE_AA0039AA	DC3000	SRR24258097;ILLUMINA;Paired;;SRX20053960;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299719	SRS17392107	2023-05-14	2023-04-21	PSE_AA0039AA	Assembled	124	5.2	77217	6303025	Pseudomonas syringae group genomosp. 3;100.0%	233	1839	PSE_AA4646AA_AS
PSE_AA0040AA	DC3000	SRR24258098;ILLUMINA;Paired;;SRX20053959;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299718	SRS17392106	2023-05-14	2023-04-21	PSE_AA0040AA	Assembled	115.2	5.2	69463	6307196	Pseudomonas syringae group genomosp. 3;100.0%	224	2554	PSE_AA4647AA_AS
PSE_AA0041AA	DC3000	SRR24258099;ILLUMINA;Paired;;SRX20053958;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299717	SRS17392108	2023-05-14	2023-04-21	PSE_AA0041AA	Assembled	123.9	5.2	69111	6307514	Pseudomonas syringae group genomosp. 3;100.0%	221	2367	PSE_AA4648AA_AS
PSE_AA0042AA	DC3000	SRR24258100;ILLUMINA;Paired;;SRX20053957;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299716	SRS17392105	2023-05-14	2023-04-21	PSE_AA0042AA	Assembled	128.9	5.2	78867	6306478	Pseudomonas syringae group genomosp. 3;100.0%	219	2762	PSE_AA4649AA_AS
PSE_AA0043AA	DC3000	SRR24258101;ILLUMINA;Paired;;SRX20053956;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299715	SRS17392104	2023-05-14	2023-04-21	PSE_AA0043AA	Assembled	112.7	5.2	69907	6307249	Pseudomonas syringae group genomosp. 3;100.0%	219	2343	PSE_AA4650AA_AS
PSE_AA0044AA	DC3000	SRR24258102;ILLUMINA;Paired;;SRX20053955;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299714	SRS17392103	2023-05-14	2023-04-21	PSE_AA0044AA	Assembled	141.3	5.2	74598	6306163	Pseudomonas syringae group genomosp. 3;100.0%	224	2519	PSE_AA4651AA_AS
PSE_AA0045AA	DC3000	SRR24258103;ILLUMINA;Paired;;SRX20053954;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299705	SRS17392102	2023-05-14	2023-04-21	PSE_AA0045AA	Assembled	125.3	5.2	69441	6306848	Pseudomonas syringae group genomosp. 3;100.0%	222	2018	PSE_AA4652AA_AS
PSE_AA0046AA	DC3000	SRR24258104;ILLUMINA;Paired;;SRX20053953;SRA	ND	Plant	lab; tomato	2020	12	10		North America	United States	California				37.8719	-122.2585	University of California, Berkeley	Pseudomonas syringae				PRJNA958383	SRP433811	SAMN34299704	SRS17392101	2023-05-14	2023-04-21	PSE_AA0046AA	Assembled	117.2	5.2	69899	6306662	Pseudomonas syringae group genomosp. 3;100.0%	228	2542	PSE_AA4653AA_AS
PSE_AA0047AA	PSS	SRR24072255;ILLUMINA;Paired;;SRX19873390;SRA	Environment	Plant	plant biome; bean	2015				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068138	SRS17251371	2023-05-14	2023-04-06	PSE_AA0047AA	Assembled	72.3	5.1	39655	5999766	Pseudomonas syringae;100.0%	346	1965	PSE_AA0005AA_AS
PSE_AA0048AA	K7#8	SRR24072258;ILLUMINA;Paired;;SRX19873387;SRA	Environment	Plant	plant biome; kiwifruit; fruit	2019				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068135	SRS17228646	2023-05-14	2023-04-05	PSE_AA0048AA	Assembled	64	5.1	48674	6209718	Pseudomonas syringae;100.0%	307	2658	PSE_AA0006AA_AS
PSE_AA0049AA	K7#1	SRR24072259;ILLUMINA;Paired;;SRX19873386;SRA	Environment	Plant	plant biome; kiwifruit; fruit	2019				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068134	SRS17228645	2023-05-14	2023-04-05	PSE_AA0049AA	Assembled	65	5.1	48472	6212943	Pseudomonas syringae;100.0%	300	2824	PSE_AA0007AA_AS
PSE_AA0050AA	K4#3	SRR24072260;ILLUMINA;Paired;;SRX19873385;SRA	Environment	Plant	plant biome; kiwifruit; fruit	2018				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068133	SRS17228644	2023-05-14	2023-04-05	PSE_AA0050AA	Assembled	60.3	5.1	51782	6260296	Pseudomonas syringae;99.6%	301	2815	PSE_AA0023AA_AS
PSE_AA0051AA	#5847.19	SRR24072261;ILLUMINA;Paired;;SRX19873384;SRA	Environment	Plant	plant biome; kiwifruit; fruit	2019				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068132	SRS17228643	2023-05-14	2023-04-05	PSE_AA0051AA	Assembled	77.8	5.1	52652	6238960	Pseudomonas syringae;99.67%	304	2857	PSE_AA3026AA_AS
PSE_AA0052AA	#5846.19	SRR24072262;ILLUMINA;Paired;;SRX19873383;SRA	Environment	Plant	plant biome; kiwifruit; fruit	2019				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068131	SRS17228642	2023-05-14	2023-04-05	PSE_AA0052AA	Assembled	71.4	5.1	48472	6259613	Pseudomonas syringae;99.18%	308	3130	PSE_AA3027AA_AS
PSE_AA0053AA	#453e	SRR24072263;ILLUMINA;Paired;;SRX19873382;SRA	Environment	Plant	plant biome; kiwifruit; fruit	2016				Europe	Italy							KU Leuven	Pseudomonas syringae				PRJNA952184	SRP430968	SAMN34068130	SRS17228641	2023-05-14	2023-04-05	PSE_AA0053AA	Assembled	69.5	5.1	51923	6213389	Pseudomonas syringae;100.0%	307	2189	PSE_AA0011AA_AS
PSE_AA0054AA	44527	SRR23933589;ILLUMINA;Paired;;SRX19743392;SRA	Environment	Plant	Phasealus vulgaris; Macerated buds	2020	8			South America	Chile	O'Higgins Region	Provincia de Colchagua	San Fernando				INIA Rayentue	Pseudomonas syringae				PRJNA750090	SRP365333	SAMN33794771	SRS17109351	2023-05-14	2023-03-21	PSE_AA0054AA	Assembled	406.1	5.1	727025	5817613	Pseudomonas syringae;100.0%	20	920	PSE_AA0012AA_AS
PSE_AA0055AA	M11	SRR23933590;ILLUMINA;Paired;;SRX19743391;SRA	Environment	Plant	Actinidia deliciosa	2020	6			South America	Chile	O'Higgins Region	Provincia de Colchagua	San Fernando				INIA Rayentue	Pseudomonas syringae				PRJNA750090	SRP365333	SAMN33794772	SRS17109350	2023-05-14	2023-03-21	PSE_AA0055AA	Assembled	418.7	5.1	229803	5856341	Pseudomonas syringae;91.66%	43	759	PSE_AA0013AA_AS
PSE_AA0056AA	HO7	SRR23933591;ILLUMINA;Paired;;SRX19743390;SRA	Environment	Plant	Prunus avium; Macerated buds	2021	8			South America	Chile	O'Higgins Region	Provincia de Colchagua	San Fernando				INIA Rayentue	Pseudomonas syringae				PRJNA750090	SRP365333	SAMN33794722	SRS17109349	2023-05-14	2023-03-21	PSE_AA0056AA	Assembled	391	5.1	218406	6201531	Pseudomonas syringae;98.18%	72	797	PSE_AA0014AA_AS
PSE_AA0057AA	S2_2	SRR23933592;ILLUMINA;Paired;;SRX19743389;SRA	Environment	Plant	Prunus avium	2020	7			South America	Chile	O'Higgins Region	Provincia de Colchagua	San Fernando				INIA Rayentue	Pseudomonas syringae				PRJNA750090	SRP365333	SAMN33794723	SRS17109348	2023-05-14	2023-03-21	PSE_AA0057AA	Assembled	380	5.1	202266	6138604	Pseudomonas syringae;96.46%	68	592	PSE_AA3028AA_AS
PSE_AA0058AA	11116B1	SRR23933593;ILLUMINA;Paired;;SRX19743388;SRA	Environment	Plant	Prunus avium; Leaf wash	2020	6			South America	Chile	O'Higgins Region	Provincia de Colchagua	San Fernando				INIA Rayentue	Pseudomonas syringae				PRJNA750090	SRP365333	SAMN33794766	SRS17109347	2023-05-14	2023-03-21	PSE_AA0058AA	Assembled	395.1	5.1	195218	6101347	Pseudomonas syringae;93.66%	82	480	PSE_AA0016AA_AS
PSE_AA0059AA	9298.1	SRR23933594;ILLUMINA;Paired;;SRX19743387;SRA	Environment	Plant	Prunus avium; Cankerous wood	2020	7			South America	Chile	O'Higgins Region	Provincia de Cachapoal	Rengo				INIA Rayentue	Pseudomonas syringae				PRJNA750090	SRP365333	SAMN33794767	SRS17109346	2023-05-14	2023-03-21	PSE_AA0059AA	Assembled	398.5	5.1	226549	6135654	Pseudomonas syringae;100.0%	66	239	PSE_AA0017AA_AS
PSE_AA0060AA	SUPP1771	DRR347240;ILLUMINA;Paired;564;DRX336005;SRA	Environment	Plant	Camellia sinensis	1998	2	24		Asia	Japan	Shizuoka Prefecture						SHIZUOKA	Pseudomonas syringae				PRJDB13023	DRP009671	SAMD00442893	DRS283138	2023-05-14	2023-03-07	PSE_AA0060AA	Assembled	115.7	5.1	57251	6418048	Pseudomonas syringae;96.24%	259	2210	PSE_AA0018AA_AS
PSE_AA0061AA	SUPP2693	DRR347241;ILLUMINA;Paired;598;DRX336006;SRA	Environment	Plant	Camellia sinensis	2009	4	9		Asia	Japan	Shizuoka Prefecture						SHIZUOKA	Pseudomonas syringae				PRJDB13024	DRP009621	SAMD00442894	DRS281457	2023-05-14	2023-02-20	PSE_AA0061AA	Assembled	142.6	5.1	69246	6424859	Pseudomonas syringae;92.48%	245	1960	PSE_AA0019AA_AS
PSE_AA0062AA	SUPP68	DRR344858;ILLUMINA;Paired;584;DRX333806;SRA	Environment	Plant	Camellia sinensis	1983	9	19		Asia	Japan	Shizuoka Prefecture						SHIZUOKA	Pseudomonas syringae				PRJDB12880	DRP009584	SAMD00439256	DRS279374	2023-05-14	2023-02-10	PSE_AA0062AA	Assembled	98.4	5.1	67770	6389520	Pseudomonas syringae;96.22%	212	1563	PSE_AA0020AA_AS
PSE_AA2003AA	ES4326	SRR15988571;ILLUMINA;Paired;;SRX12277155;SRA,SRR15988570;ILLUMINA;Paired;;SRX12277156;SRA,SRR15988569;OXFORD_NANOPORE;Single;;SRX12277157;SRA,SRR17005742;ILLUMINA;Paired;;SRX13195957;SRA,SRR15988568;OXFORD_NANOPORE;Single;;SRX12277158;SRA,SRR15988567;OXFORD_NANOPORE;Single;;SRX12277159;SRA	Environment	Plant	Radish	2019	10	1								43.0731	-89.4012	University of Arizona	Pseudomonas cannabina				PRJNA33215	SRP337995	SAMN21528984	SRS10252168	2023-05-14	2021-11-22	PSE_AA2003AA	Assembled	75.4	5.1	88874	6424008	Pseudomonas syringae;67.24%	229	2568	PSE_AA0025AA_AS
PSE_AA2004AA	MAFF 106156	SRR13295759;ILLUMINA;Paired;;SRX9724686;SRA	Food	Plant	Chinese cabbage	2010				Asia	Japan							National Agriculture and Food Research Organization (NARO)	Pseudomonas cannabina				PRJNA687493	SRP299101	SAMN17147434	SRS7918064	2023-05-14	2020-12-23	PSE_AA2004AA	Assembled	220.1	5.1	86072	6211907	Pseudomonas syringae;69.31%	260	1217	PSE_AA0027AA_AS
PSE_AA2015AA	ATCC 10857	SRR4234974;ILLUMINA;Paired;;SRX2156273;SRA																DOE Joint Genome Institute	Pseudomonas cichorii				PRJNA319701	SRP088337	SAMN05216599	SRS1686268	2023-05-14	2016-09-10	PSE_AA2015AA	Assembled	175.3	5.1	358403	5935275	Pseudomonas cichorii;100.0%	60	161	PSE_AA0030AA_AS
PSE_AA2016AA	1_6	SRR10502106;OXFORD_NANOPORE;Single;;SRX7191132;SRA,SRR10502107;ILLUMINA;Paired;;SRX7191131;SRA																University of Arizona	Pseudomonas coronafaciens				PRJNA31357	SRP230761	SAMN02471317	SRS5697134	2023-05-14	2019-11-21	PSE_AA2016AA	Assembled	62.6	5.1	404978	5685227	Pseudomonas syringae;69.99%	37	1577	PSE_AA0127AA_AS
PSE_AA2017AA	LMG 28496	SRR1644205;ILLUMINA;Paired;492;SRX752832;SRA	Environment	Plant	deciduous woodland; field; plant; Allium ampeloprasum	2012	6	18		Europe	Belgium	West Flanders	Kortrijk					Institute for Agricultural and Fisheries Research (ILVO)	Pseudomonas coronafaciens				PRJNA266491	SRP049585	SAMN03165649	SRS738300	2023-05-14	2015-11-06	PSE_AA2017AA	Assembled	103.1	5.1	99038	6282388	Pseudomonas syringae;56.18%	401	4255	PSE_AA0031AA_AS
PSE_AA2022AA	SAMD00000756	DRR013905;ILLUMINA;Paired;100;DRX012453;SRA																ASTELLAS	Pseudomonas fuscovaginae				PRJDB1420	DRP001171	SAMD00000756	DRS012202	2023-05-14	2014-04-02	PSE_AA2022AA	Assembled	841	5.1	322108	6522506	Pseudomonas fuscovaginae;100.0%	84	497	PSE_AA0032AA_AS
PSE_AA2023AA	SAMD00000758	DRR013903;ILLUMINA;Paired;100;DRX012451;SRA																ASTELLAS	Pseudomonas fuscovaginae				PRJDB1418	DRP001169	SAMD00000758	DRS012200	2023-05-14	2014-04-02	PSE_AA2023AA	Assembled	742	5.1	450839	6385652	Pseudomonas fuscovaginae;92.11%	62	1291	PSE_AA0033AA_AS
PSE_AA2024AA	SAMD00000760	DRR013902;ILLUMINA;Paired;100;DRX012450;SRA																ASTELLAS	Pseudomonas fuscovaginae				PRJDB1417	DRP001168	SAMD00000760	DRS012199	2023-05-14	2014-04-02	PSE_AA2024AA	Assembled	801.4	5.1	450830	6384596	Pseudomonas fuscovaginae;93.1%	45	932	PSE_AA0034AA_AS
PSE_AA2073AA	SR17	SRR19546780;ILLUMINA;Paired;;SRX15598855;SRA	Food	Plant	Spinach	2018				North America	United States	Iowa						Iowa State University	Pseudomonas marginalis				PRJNA844386	SRP378603	SAMN28815266	SRS13299857	2023-05-14	2022-06-06	PSE_AA2073AA	Assembled	43.6	5.1	380148	6836668	Pseudomonas fluorescens;89.99%	46	4663	PSE_AA0036AA_AS
PSE_AA2076AA	SAMEA7892420	ERR7113765;ILLUMINA;Paired;;ERX6682655;SRA	Environment	Soil/Dust	Agricultural biome; Rhizosphere; Soil	2017	10	2		Europe	United Kingdom					56.45139	-3.074722	University of Dundee	Pseudomonas mediterranea				PRJEB42773	ERP126678	SAMEA7892420	ERS5639656	2023-05-14	2021-11-27	PSE_AA2076AA	Assembled	13.3	5.1	29254	6129523	Pseudomonas mediterranea;98.65%	398	177459	PSE_AA0037AA_AS
PSE_AA2079AA	X49	SRR16588711;PACBIO_SMRT;Single;;SRX12790114;SRA,SRR16588712;ILLUMINA;Paired;;SRX12790113;SRA	Environment	Plant	Vicia villosa Roth var.	2019	8	7		Asia	China	Yunnan						Fujian Key Laboratory of Plant Virology, Institute of Plant Virology	Pseudomonas palleroniana				PRJNA766755	SRP343369	SAMN22170843	SRS10736059	2023-05-14	2021-12-16	PSE_AA2079AA	Assembled	555	5.1	381089	6334952	Pseudomonas palleroniana;100.0%	42	486	PSE_AA0038AA_AS
PSE_AA2113AA	ICMP 14252	SRR4235012;ILLUMINA;Paired;;SRX2156311;SRA																DOE Joint Genome Institute	Pseudomonas salomonii				PRJNA323006	SRP088371	SAMN05216247	SRS1686302	2023-05-14	2016-09-10	PSE_AA2113AA	Assembled	148.9	5.1	732735	6969482	Pseudomonas fluorescens;72.97%	56	799	PSE_AA0039AA_AS
PSE_AA2114AA	UPN912	SRR12321653;ILLUMINA;Paired;;SRX8821896;SRA	Environment	Plant	Olea europaea; plasmidless derivative of the model strain Pseudomonas syringae pv. savastanoi NCPPB 3335	2017				Europe	Spain	Navarre	Metropolialdea / Área Metropolitana	Pamplona				Universidad Publica de Navarra	Pseudomonas savastanoi				PRJNA638121	SRP273510	SAMN15196490	SRS7087518	2023-05-14	2020-07-25	PSE_AA2114AA	Assembled	54.9	5.1	70443	5790819	Pseudomonas savastanoi;100.0%	190	663	PSE_AA0040AA_AS
PSE_AA2117AA	GSM4454291	SRR11485025;ILLUMINA;Paired;;SRX8061155;SRA																NCBI	Pseudomonas savastanoi				PRJNA623230	SRP255316	SAMN14542419	SRS6429806	2023-05-14	2022-11-10	PSE_AA2117AA	Assembled	69.1	5.1	48944	5931495	Pseudomonas savastanoi;98.19%	279	15246	PSE_AA0043AA_AS
PSE_AA2118AA	GSM4454290	SRR11485024;ILLUMINA;Paired;;SRX8061154;SRA																NCBI	Pseudomonas savastanoi				PRJNA623230	SRP255316	SAMN14542420	SRS6429805	2023-05-14	2022-11-10	PSE_AA2118AA	Assembled	86.5	5.1	60519	5933165	Pseudomonas savastanoi;98.42%	249	10346	PSE_AA0044AA_AS
PSE_AA2122AA	GSM4454286	SRR11485020;ILLUMINA;Paired;;SRX8061150;SRA																NCBI	Pseudomonas savastanoi				PRJNA623230	SRP255316	SAMN14542397	SRS6429801	2023-05-14	2022-11-10	PSE_AA2122AA	Assembled	96.3	5.1	15223	5863650	Pseudomonas savastanoi;98.47%	723	27398	PSE_AA0048AA_AS
